GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US245101307004,245101307004,"Block Group 4, Census Tract 1307, Baltimore city, Maryland",562,156,546,158,16,25,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US245101307005,245101307005,"Block Group 5, Census Tract 1307, Baltimore city, Maryland",1051,280,761,229,150,158,0,12,140,127,0,12,0,12,0,12,0,12,0,12
1500000US245101307006,245101307006,"Block Group 6, Census Tract 1307, Baltimore city, Maryland",916,301,916,301,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US245101308031,245101308031,"Block Group 1, Census Tract 1308.03, Baltimore city, Maryland",637,223,565,221,47,42,0,12,20,23,0,12,5,10,0,12,0,12,0,12
1500000US245101308032,245101308032,"Block Group 2, Census Tract 1308.03, Baltimore city, Maryland",1009,311,661,237,111,65,0,12,188,217,0,12,0,12,49,47,0,12,49,47
1500000US245101308033,245101308033,"Block Group 3, Census Tract 1308.03, Baltimore city, Maryland",992,240,768,193,0,12,0,12,141,142,0,12,83,126,0,12,0,12,0,12
1500000US245101308041,245101308041,"Block Group 1, Census Tract 1308.04, Baltimore city, Maryland",782,143,672,129,65,57,0,12,10,12,0,12,10,15,25,21,13,15,12,16
1500000US245101308042,245101308042,"Block Group 2, Census Tract 1308.04, Baltimore city, Maryland",1109,162,999,155,58,61,0,12,3,5,0,12,18,26,31,37,24,36,7,11
1500000US245101308051,245101308051,"Block Group 1, Census Tract 1308.05, Baltimore city, Maryland",934,119,150,71,763,105,0,12,21,37,0,12,0,12,0,12,0,12,0,12
1500000US245101308061,245101308061,"Block Group 1, Census Tract 1308.06, Baltimore city, Maryland",1435,164,1045,156,334,141,0,12,10,11,10,22,0,12,36,33,0,12,36,33
1500000US245101401001,245101401001,"Block Group 1, Census Tract 1401, Baltimore city, Maryland",1221,261,852,220,153,109,0,12,149,91,0,12,0,12,67,54,0,12,67,54
1500000US245101401002,245101401002,"Block Group 2, Census Tract 1401, Baltimore city, Maryland",1102,480,721,359,107,68,0,12,175,103,0,12,0,12,99,97,35,47,64,59
1500000US245101401003,245101401003,"Block Group 3, Census Tract 1401, Baltimore city, Maryland",1157,290,293,165,691,206,0,12,64,107,0,12,89,138,20,32,0,12,20,32
1500000US245101401004,245101401004,"Block Group 4, Census Tract 1401, Baltimore city, Maryland",1312,325,641,253,521,212,0,12,94,144,0,12,0,12,56,69,0,12,56,69
1500000US245101402001,245101402001,"Block Group 1, Census Tract 1402, Baltimore city, Maryland",682,227,71,35,589,223,0,12,0,12,0,12,0,12,22,40,0,12,22,40
1500000US245101402002,245101402002,"Block Group 2, Census Tract 1402, Baltimore city, Maryland",865,309,45,32,820,305,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US245101402003,245101402003,"Block Group 3, Census Tract 1402, Baltimore city, Maryland",244,218,0,12,244,218,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US245101402004,245101402004,"Block Group 4, Census Tract 1402, Baltimore city, Maryland",591,262,0,12,591,262,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US245101403001,245101403001,"Block Group 1, Census Tract 1403, Baltimore city, Maryland",582,184,47,44,526,178,0,12,0,12,0,12,0,12,9,22,0,12,9,22
1500000US245101403002,245101403002,"Block Group 2, Census Tract 1403, Baltimore city, Maryland",507,217,0,12,507,217,0,12,0,12,0,12,0,12,0,12,0,12,0,12
